,color,rgb
996,marmoreal,white
997,pearly,seashell
998,swan white,white
999,ice white,white
1000,pearl white,seashell
1001,lint white,white
1002,wool white,white
1003,fish belly,white
1004,wax white,white
1005,cottonary,white
1006,cottonous,white
1007,cottony,white
1008,sheep hued,oldlace
1009,natural coloured,oldlace
1010,oysterous,whitesmoke
1011,oyster,whitesmoke
1012,silverish,silver
1013,argentine,silver
1014,argent,silver
1015,silver coloured,silver
1016,silver white,silver
1017,silver like,silver
1018,silvery,silver
1019,argenteous,silver
1020,silvern,silver
1021,flatten,aliceblue
1022,fleeten,aliceblue
1023,blue white,aliceblue
1024,blush white,misty rose
1025,cream coloured,ivory
1026,creamy,ivory
1027,blok,black
1028,neger,black
1029,sable,black
1030,black coloured,black
1031,sable coloured,black
1032,ebon,black
1033,ethiop,black
1034,torrid,black
1035,atred,black
1036,pullous,black
1037,nigricant,black
1038,nigrific,black
1039,negro,black
1040,nigritudinous,black
1041,nigrine,black
1042,blackish,black
1043,blacky,black
1044,nigrescent,black
1045,bigresceous,black
1046,for black,black
1047,self black,black
1048,nigrous,black
1049,all black,black
1050,jet black,black
1051,jetty,black
1052,jetty black,black
1053,jettish,black
1054,jet,black
1055,coal black,black
1056,as black as coal,black
1057,coaly,black
1058,night black,black
1059,night dark,black
1060,ravenish,black
1061,raven black,black
1062,raven coloured,black
1063,raven,black
1064,inky,black
1065,sepian,black
1066,atramental,black
1067,atramentous,black
1068,chalcanthous,black
1069,atramentitious,black
1070,inkish,black
1071,atramentaceous,black
1072,atramentarious,black
1073,black as pitch,black
1074,pitchy,black
1075,pitch black,black
1076,pitch coloured,black
1077,pitchy black,black
1078,piceous,black
1079,picescent,black
1080,sooty,black
1081,fuliginated,black
1082,fuliginous,black
1083,pit black,black
1084,bible black,black
1085,fusco piceous,black
1086,brownish black,darkbrown
1087,brown black,darkbrown
1088,pukish,midnightblue
1089,blue black,midnightblue
1090,sloe black,midnightblue
1091,black rimmed,midnightblue
1092,blacked edged,midnightblue
1093,black bordered,midnightblue
1094,smutting,black
1095,blackening,black
1096,nigricanting,black
1097,forswarted,black
1098,bletchy,black
1099,blackened,black
1100,well blacked,black
1101,collied,black
1102,blacked,black
